# [Filetype: Wrye Mash Remover]
# All creatures added by Neoptolemus' Morrowind Comes Alive v5.1
# by Dragon32

# MCA 5.1
"_MCA_skeleton"	"Skeleton"
"_MCA_ruffian_imp_m02"	"Ruffian"
"_MCA_ruffian_khaj_m02"	"Ruffian"
"_MCA_ruffian_nord_m02"	"Ruffian"
"_MCA_ruffian_orc_m02"	"Ruffian"
"_MCA_ruffian_red_m02"	"Ruffian"
"_MCA_ruffian_nord_f02"	"Ruffian"
"_MCA_ruffian_orc_f02"	"Ruffian"
"_MCA_ruffian_red_f02"	"Ruffian"
"_MCA_imp_archer_bret_f"	"Imperial Archer"
"_MCA_imp_marks_bret_f"	"Imperial Markswoman"
"_MCA_imp_marks_bret_m"	"Imperial Marksman"
"_MCA_imp_archer_bret_m"	"Imperial Archer"
"_MCA_imp_guard_dun_f2"	"Imperial Legionary"
"_MCA_imp_archer_dun_f"	"Imperial Archer"
"_MCA_imp_marks_dun_f"	"Imperial Markswoman"
"_MCA_imp_guard_dun_m2"	"Imperial Legionary"
"_MCA_imp_marks_dun_m"	"Imperial Marksman"
"_MCA_imp_archer_dun_m"	"Imperial Archer"
"_MCA_imp_guard_nord_f2"	"Imperial Legionary"
"_MCA_imp_archer_nord_f"	"Imperial Archer"
"_MCA_imp_marks_nord_f"	"Imperial Markswoman"
"_MCA_imp_guard_nord_m2"	"Imperial Legionary"
"_MCA_imp_archer_nord_m"	"Imperial Archer"
"_MCA_imp_marks_nord_m"	"Imperial Marksman"
"_MCA_imp_guard_orc_f2"	"Imperial Legionary"
"_MCA_imp_archer_orc_f"	"Imperial Archer"
"_MCA_imp_guard_orc_m2"	"Imperial Legionary"
"_MCA_imp_archer_orc_m"	"Imperial Archer"
"_MCA_imp_guard_redg_f2"	"Imperial Legionary"
"_MCA_imp_archer_redg_f"	"Imperial Archer"
"_MCA_imp_guard_redg_m2"	"Imperial Legionary"
"_MCA_imp_archer_redg_m"	"Imperial Archer"
"_MCA_orc_warrior_f"	"Orc Warrior"
"_MCA_orc_warrior_m"	"Orc Warrior"
"_MCA_orc_shaman_f"	"Orc Shaman"
"_MCA_orc_barbarian_m"	"Orc Barbarian"
"_MCA_orc_shaman_m"	"Orc Shaman"
"_MCA_orc_archer_f"	"Orc Archer"
"_MCA_orc_archer_m"	"Orc Archer"
"_MCA_orc_marksman_m"	"Orc Marksman"
"_MCA_orc_berserker_m"	"Orc Berserker"
"_MCA_imp_marks_orc_m"	"Imperial Marksman"
"_MCA_ruffian_ambush"	
"_MCA_skel_archer02"	"Skeleton Archer"
"_MCA_skel_warrior02"	"Skeleton Warrior"
"_MCA_skel_champion02"	"Skeleton Champion"
"_MCA_skel_knight02"	"Skeleton Knight"
"_MCA_skel_crusader02"	"Skeleton Knight"
"_MCA_skel_marksman02"	"Skeleton Marksman"
"_MCA_phan_archer02"	"Phantom Archer"
"_MCA_phan_champion02"	"Phantom Champion"
"_MCA_phan_crusader02"	"Phantom Crusader"
"_MCA_phan_knight02"	"Phantom Knight"
"_MCA_phan_mage"	"Phantom Mage"
"_MCA_phan_marksman02"	"Phantom Marksman"
"_MCA_phan_sorceror"	"Phantom Sorceror"
"_MCA_phan_warrior02"	"Phantom Warrior"
"_MCA_phantom"	"Phantom"
"_MCA_phan_archer01"	"Phantom Archer"
"_MCA_phan_champion01"	"Phantom Champion"
"_MCA_phan_knight01"	"Phantom Knight"
"_MCA_phan_marksman01"	"Phantom Marksman"
"_MCA_phan_crusader01"	"Phantom Crusader"
"_MCA_phan_warrior01"	"Phantom Warrior"
"_MCA_companion_susan"	"Susan"
"_MCA_companion_mordred"	"Mordred of Wyrmhaven"
"_MCA_companion_wolf"	"Wolf"
"_MCA_companion_laeril"	"Laeril"
"_MCA_companion_eowyn"	"Éowyn"
"_MCA_companion_marianne"	"Marianne de Castor"
"_MCA_companion_khann"	"Khann Sershurrapal"
"_MCA_companion_unferth"	"Unferth Windfoot"
"_MCA_companion_edhrinor"	"Edhrinor"
"_MCA_companion_elira"	"Elira Uvendas"
"_MCA_companion_noldomir"	"Noldomir"
"_MCA_companion_mina"	"Mina Indoril"
"_MCA_companion_medea"	"Medea"
"_MCA_companion_mirear"	"Mirëar"
"_MCA_companion_annah"	"Annah Indaren"
"_MCA_companion_catherin"	"Catherine de Castor"
"_MCA_companion_luthien"	"Luthien Morvayn"
"_MCA_companion_octavius"	"Octavius Antiochus"
"_MCA_companion_bracchus"	"Bracchus Witchbane"
"_MCA_companion_draythen"	"Draythen Llethri"
"_MCA_companion_ghrash"	"Ghrash gro-Dungroth"
"_MCA_companion_hrothulf"	"Hrothulf the Restless"
"_MCA_companion_ali"	"Ali"
"_MCA_companion_persepho"	"Persephone"
"_MCA_companion_shareel"	"Shareel"
"_MCA_companion_edward"	"Edward of Glenumbra"
"_MCA_companion_malthus"	"Malthus Retheran"
"_MCA_companion_isolde"	"Isolde"
"_MCA_companion_josephin"	"Josephine Deudonne"
"_MCA_companion_quintus"	"Quintus Ambrosinius"
"_MCA_companion_reynald"	"Reynald the Pike"
"_MCA_companion_swims"	"Swims-In-Ice-Water"
"_MCA_companion_yasam"	"Y'asam"
"_MCA_companion_sharp"	"Sharp-Claws"
"_MCA_companion_leemka"	"Leem-Ka"
"_MCA_companion_yasmine"	"Yasmine"
"_MCA_companion_sam"	"Sam"
"_MCA_companion_tsenyi"	"Tsenyi"
"_MCA_companion_pharakho"	"Pharakhor the Damned"
"_MCA_companion_symmachu"	"Symmachus"
"_MCA_companion_selena"	"Selena"
"_MCA_companion_telania"	"Telania Neloth"
"_MCA_companion_raaj"	"Raaj"
"_MCA_companion_erik"	"Erik the Stubborn"
"_MCA_companion_kagha"	"Kagha gra-Ugdush"
"_MCA_companion_ufthak"	"Ufthak gro-Boldog"
"_MCA_companion_neldor"	"Neldor"
"_MCA_companion_telion"	"Telion the Terrible"
"_MCA_companion_olivia"	"Olivia Delitian"
"_MCA_zombie01"	"Zombie"
"_MCA_zombie_knight05"	"Zombie Knight"
"_MCA_zombie_knight02"	"Zombie Knight"
"_MCA_zombie_knight04"	"Zombie Knight"
"_MCA_zombie_archer01"	"Zombie Archer"
"_MCA_zombie_archer02"	"Zombie Archer"
"_MCA_zombie_champion01"	"Zombie Champion"
"_MCA_zombie_knight01"	"Zombie Knight"
"_MCA_zombie_champion02"	"Zombie Champion"
"_MCA_zombie_mage01"	"Zombie Mage"
"_MCA_zombie_warrior01"	"Zombie Warrior"
"_MCA_zombie_warrior02"	"Zombie Warrior"
"_MCA_knight_nord_m1"	"Knight"
"_MCA_knight_nord_f1"	"Knight"
"_MCA_knight_imperial_f1"	"Knight"
"_MCA_knight_breton_m1"	"Knight"
"_MCA_knight_breton_f1"	"Knight"
"_MCA_knight_imperial_m1"	"Knight"
"_MCA_skel_knight03"	"Skeleton Knight"
"_MCA_zombie_knight03"	"Zombie Knight"
"_MCA_ninja_bosmer_m"	"Assassin"
"_MCA_ninja_bosmer_f"	"Assassin"
"_MCA_ninja_breton_f"	"Assassin"
"_MCA_ninja_breton_m"	"Assassin"
"_MCA_ninja_dunmer_m"	"Assassin"
"_MCA_ninja_dunmer_f"	"Assassin"
"_MCA_ninja_imperial_f"	"Assassin"
"_MCA_ninja_imperial_m"	"Assassin"
"_MCA_ninja_redguard_m"	"Assassin"
"_MCA_ninja_redguard_f"	"Assassin"
"_MCA_assassin_imp_f"	"Assassin"
"_MCA_assassin_bosmer_f"	"Assassin"
"_MCA_assassin_dunmer_f"	"Assassin"
"_MCA_assassin_imp_m"	"Assassin"
"_MCA_assassin_breton_m"	"Assassin"
"_MCA_assassin_dunmer_m"	"Assassin"
"_MCA_assassin_breton_f"	"Assassin"
"_MCA_assassin_redg_f"	"Assassin"
"_MCA_assassin_redg_m"	"Assassin"
"_MCA_assassin_bosmer_m"	"Assassin"
"_MCA_ranger_nord_f"	"Ranger"
"_MCA_ranger_dunmer_f"	"Ranger"
"_MCA_ranger_breton_f"	"Ranger"
"_MCA_ranger_bosmer_f"	"Ranger"
"_MCA_ranger_imperial_f"	"Ranger"
"_MCA_layman_breton_m"	"Lay Brother"
"_MCA_layman_breton_f"	"Lay Sister"
"_MCA_layman_nord_f"	"Lay Sister"
"_MCA_layman_redg_f"	"Lay Sister"
"_MCA_layman_redg_m"	"Lay Brother"
"_MCA_layman_nord_m"	"Lay Brother"
"_MCA_priest_nord_f"	"Priestess"
"_MCA_priest_nord_m"	"Priest"
"_MCA_phan_knight03"	"Phantom Knight"
"_MCA_necromancer_alt_m"	"Necromancer"
"_MCA_necromancer_alt_f"	"Necromancer"
"_MCA_necromancer_bret_f"	"Necromancer"
"_MCA_necromancer_bret_m"	"Necromancer"
"_MCA_necromancer_dun_m"	"Necromancer"
"_MCA_necromancer_dun_f"	"Necromancer"
"_MCA_imp_knight_nord_f"	"Imperial Knight"
"_MCA_imp_knight_nord_m"	"Imperial Knight"
"_MCA_imp_dukes_dun_m"	"Duke's Guard"
"_MCA_imp_dukes_dun_f"	"Duke's Guard"
"_MCA_courtesan_alt_f3"	"Courtesan"
"_MCA_courtesan_imp_m5"	"Courtesan"
"_MCA_courtesan_bret_m4"	"Courtesan"
"_MCA_courtesan_bret_m5"	"Courtesan"
"_MCA_zombie_headless01"	"Headless Zombie"
"_MCA_zombie02"	"Zombie"
"_MCA_corpse_altmer_f"	"Corpse"
"_MCA_corpse_breton_f"	"Corpse"
"_MCA_corpse_dunmer_f"	"Corpse"
"_MCA_corpse_imperial_f"	"Corpse"
"_MCA_corpse_nord_f"	"Corpse"
"_MCA_corpse_orc_f"	"Corpse"
"_MCA_corpse_redg_f"	"Corpse"
"_MCA_corpse_bosmer_f"	"Corpse"
"_MCA_corpse_khajiit_f"	"Corpse"
"_MCA_corpse_argonian_f"	"Corpse"
"_MCA_corpse_altmer_m"	"Corpse"
"_MCA_corpse_bosmer_m"	"Corpse"
"_MCA_corpse_dunmer_m"	"Corpse"
"_MCA_corpse_breton_m"	"Corpse"
"_MCA_corpse_imperial_m"	"Corpse"
"_MCA_corpse_nord_m"	"Corpse"
"_MCA_corpse_orc_m"	"Corpse"
"_MCA_corpse_redg_m"	"Corpse"
"_MCA_corpse_argonian_m"	"Corpse"
"_MCA_corpse_khajiit_m"	"Corpse"
"_MCA_corpse_skeleton"	"Corpse"
"_MCA_corpse_zombie_m"	"Corpse"
"_MCA_necromancer_imp_m"	"Necromancer"
"_MCA_necromancer_imp_f"	"Necromancer"
"_MCA_necromancer_bos_f"	"Necromancer"
"_MCA_necromancer_bos_m"	"Necromancer"
"_MCA_necromancer_redg_m"	"Necromancer"
"_MCA_necromancer_redg_f"	"Necromancer"
"_MCA_necromancer_nord_f"	"Necromancer"
"_MCA_necromancer_nord_m"	"Necromancer"
"_MCA_imp_patrol_captain"	"Imperial Centurion"
"_MCA_imp_patrol_guard"	"Imperial Legionary"
"_MCA_courtesan_bret_f5"	"Courtesan"
"_MCA_courtesan_bret_f6"	"Courtesan"
"_MCA_courtesan_bret_f7"	"Courtesan"
"_MCA_dunmer_thief_m"	"Thief"
"_MCA_dunmer_thief_f"	"Thief"
"_MCA_dunmer_warrior_m"	"Thug"
"_MCA_dunmer_warrior_f"	"Thug"
"_MCA_dunmer_archer_f"	"Archer"
"_MCA_dunmer_archer_m"	"Archer"
"_MCA_dunmer_crossbow_m"	"Marksman"
"_MCA_dunmer_crossbow_f"	"Markswoman"
"_MCA_dunmer_bone_m"	"Warrior"
"_MCA_dunmer_bone_f"	"Warrior"
"_MCA_dunmer_iron_m"	"Warrior"
"_MCA_dunmer_iron_f"	"Warrior"
"_MCA_dunmer_thug_f1"	"Thug"
"_MCA_dunmer_thug_m1"	"Thug"
"_MCA_dunmer_ambush"	
"_MCA_courtesan_bos_m4"	"Courtesan"
"_MCA_courtesan_bos_f4"	"Courtesan"
"_MCA_courtesan_bos_f5"	"Courtesan"
"_MCA_courtesan_redg_f3"	"Courtesan"
"_MCA_courtesan_redg_f4"	"Courtesan"
"_MCA_courtesan_redg_f5"	"Courtesan"
"_MCA_courtesan_redg_m3"	"Courtesan"
"_MCA_courtesan_redg_m4"	"Courtesan"
"_MCA_dunmer_thug_m2"	"Thug"
"_MCA_dunmer_thug_f2"	"Thug"
"_MCA_wraith_f"	"Wraith"
"_MCA_wraith_lord_m"	"Wraith Lord"
"_MCA_wraith_lord_f"	"Wraith Lady"
"_MCA_wraith_ambush"	
"_MCA_BM_wraith"	"Frost Wraith"
"_MCA_bandit_nord_m01"	"Bandit"
"_MCA_bandit_nord_m02"	"Bandit"
"_MCA_bandit_orc_m01"	"Bandit"
"_MCA_bandit_orc_m02"	"Bandit"
"_MCA_bandit_red_m01"	"Bandit"
"_MCA_bandit_red_m02"	"Bandit"
"_MCA_bandit_dun_m01"	"Bandit"
"_MCA_bandit_khaj_m01"	"Bandit"
"_MCA_bandit_dun_m02"	"Bandit"
"_MCA_bandit_khaj_m02"	"Bandit"
"_MCA_bandit_nord_f01"	"Bandit"
"_MCA_bandit_nord_f02"	"Bandit"
"_MCA_bandit_bret_m01"	"Bandit"
"_MCA_bandit_bret_m02"	"Bandit"
"_MCA_bandit_khaj_f01"	"Bandit"
"_MCA_bandit_imp_m01"	"Bandit"
"_MCA_bandit_dun_f02"	"Bandit"
"_MCA_bandit_imp_m02"	"Bandit"
"_MCA_bandit_orc_f01"	"Bandit"
"_MCA_bandit_orc_f02"	"Bandit"
"_MCA_bandit_khaj_f02"	"Bandit"
"_MCA_bandit_red_f01"	"Bandit"
"_MCA_bandit_bos_m01"	"Bandit"
"_MCA_bandit_bos_m02"	"Bandit"
"_MCA_bandit_red_f02"	"Bandit"
"_MCA_bandit_bret_f01"	"Bandit"
"_MCA_bandit_bos_f01"	"Bandit"
"_MCA_bandit_bos_f02"	"Bandit"
"_MCA_bandit_dun_f01"	"Bandit"
"_MCA_bandit_imp_f01"	"Bandit"
"_MCA_bandit_imp_f02"	"Bandit"
"_MCA_bandit_bret_f02"	"Bandit"
"_MCA_footpad_nord_m"	"Footpad"
"_MCA_footpad_breton_m"	"Footpad"
"_MCA_footpad_dunmer_m"	"Footpad"
"_MCA_footpad_imperial_m"	"Footpad"
"_MCA_footpad_khajiit_m"	"Footpad"
"_MCA_footpad_orc_m"	"Footpad"
"_MCA_footpad_redguard_m"	"Footpad"
"_MCA_footpad_bosmer_m"	"Footpad"
"_MCA_footpad_nord_f"	"Footpad"
"_MCA_footpad_breton_f"	"Footpad"
"_MCA_footpad_dunmer_f"	"Footpad"
"_MCA_footpad_imperial_f"	"Footpad"
"_MCA_footpad_khajiit_f"	"Footpad"
"_MCA_footpad_orc_f"	"Footpad"
"_MCA_footpad_redguard_f"	"Footpad"
"_MCA_footpad_bosmer_f"	"Footpad"
"_MCA_bandit_ambush"	
"_MCA_footpad_ambush"	
"_MCA_BM_smuggler_bos_f1"	"Smuggler"
"_MCA_BM_smuggler_bos_m1"	"Smuggler"
"_MCA_BM_smuggler_bre_m1"	"Smuggler"
"_MCA_BM_smuggler_bre_f1"	"Smuggler"
"_MCA_BM_smuggler_dun_f1"	"Smuggler"
"_MCA_BM_smuggler_dun_m1"	"Smuggler"
"_MCA_BM_smuggler_imp_m1"	"Smuggler"
"_MCA_BM_smuggler_imp_f1"	"Smuggler"
"_MCA_BM_smuggler_nor_f1"	"Smuggler"
"_MCA_BM_smuggler_nor_m1"	"Smuggler"
"_MCA_BM_smuggler_orc_m1"	"Smuggler"
"_MCA_BM_smuggler_orc_f1"	"Smuggler"
"_MCA_BM_smuggler_red_f1"	"Smuggler"
"_MCA_BM_smuggler_red_m1"	"Smuggler"
"_MCA_BM_smuggler_kha_f1"	"Smuggler"
"_MCA_BM_smuggler_kha_m1"	"Smuggler"
"_MCA_BM_skel_archer01"	"Skeleton Archer"
"_MCA_BM_skel_knight02"	"Skeleton Knight"
"_MCA_BM_skel_knight01"	"Skeleton Knight"
"_MCA_BM_skel_archer02"	"Skeleton Archer"
"_MCA_BM_skel_shaman"	"Skeleton Shaman"
"_MCA_BM_skel_champion02"	"Skeleton Champion"
"_MCA_BM_skel_marksman01"	"Skeleton Marksman"
"_MCA_BM_skel_marksman02"	"Skeleton Marksman"
"_MCA_BM_skel_warrior02"	"Skeleton Warrior"
"_MCA_BM_skel_warrior01"	"Skeleton Warrior"
"_MCA_BM_skeleton"	"Skeleton"
"_MCA_BM_skel_champion01"	"Skeleton Champion"
"_MCA_BM_draugr_shaman"	"Draugr Shaman"
"_MCA_BM_draugr_champ02"	"Draugr Champion"
"_MCA_BM_draugr_knight02"	"Draugr Knight"
"_MCA_BM_draugr_champ01"	"Draugr Champion"
"_MCA_BM_draugr_archer01"	"Draugr Archer"
"_MCA_BM_draugr_archer02"	"Draugr Archer"
"_MCA_BM_draugr_knight01"	"Draugr Knight"
"_MCA_BM_draugr_war01"	"Draugr Warrior"
"_MCA_BM_draugr_war02"	"Draugr Warrior"
"_MCA_BM_draugr"	"Draugr"
"_MCA_zombie03"	"Zombie"
"_MCA_zombie04"	"Zombie"
"_MCA_zombie05"	"Zombie"
"_MCA_BM_draugr_berserk1"	"Draugr Berserker"
"_MCA_BM_skel_berserk01"	"Skeleton Berserker"
"_MCA_BM_draugr_berserk2"	"Draugr Berserker"
"_MCA_BM_skel_berserk02"	"Skeleton Berserker"
"_MCA_BM_skel_reaver02"	"Skeleton Reaver"
"_MCA_BM_skel_reaver04"	"Skeleton Reaver"
"_MCA_BM_skel_reaver01"	"Skeleton Reaver"
"_MCA_BM_skel_reaver03"	"Skeleton Reaver"
"_MCA_BM_skel_reaver06"	"Skeleton Reaver"
"_MCA_BM_skel_reaver08"	"Skeleton Reaver"
"_MCA_BM_skel_reaver05"	"Skeleton Reaver"
"_MCA_BM_skel_reaver07"	"Skeleton Reaver"
"_MCA_BM_draugr_reaver02"	"Draugr Reaver"
"_MCA_BM_draugr_reaver04"	"Draugr Reaver"
"_MCA_BM_draugr_reaver06"	"Draugr Reaver"
"_MCA_BM_draugr_reaver08"	"Draugr Reaver"
"_MCA_BM_draugr_reaver03"	"Draugr Reaver"
"_MCA_BM_draugr_reaver07"	"Draugr Reaver"
"_MCA_BM_draugr_reaver01"	"Draugr Reaver"
"_MCA_BM_draugr_reaver05"	"Draugr Reaver"
"_MCA_zombie_knight08"	"Zombie Knight"
"_MCA_zombie_knight07"	"Zombie Knight"
"_MCA_zombie_knight10"	"Zombie Knight"
"_MCA_zombie_archer03"	"Zombie Archer"
"_MCA_zombie_archer04"	"Zombie Archer"
"_MCA_zombie_champion03"	"Zombie Champion"
"_MCA_zombie_champion04"	"Zombie Champion"
"_MCA_zombie_knight09"	"Zombie Knight"
"_MCA_zombie_headless02"	"Headless Zombie"
"_MCA_zombie_knight06"	"Zombie Knight"
"_MCA_zombie_mage02"	"Zombie Mage"
"_MCA_zombie_warrior03"	"Zombie Warrior"
"_MCA_zombie_warrior04"	"Zombie Warrior"
"_MCA_BM_reaver01"	"Reaver"
"_MCA_BM_reaver02"	"Reaver"
"_MCA_BM_reaver03"	"Reaver"
"_MCA_BM_reaver04"	"Reaver"
"_MCA_BM_reaver07"	"Reaver"
"_MCA_BM_reaver08"	"Reaver"
"_MCA_BM_reaver05"	"Reaver"
"_MCA_BM_reaver06"	"Reaver"
"_MCA_BM_smuggler_nor_m2"	"Smuggler"
"_MCA_BM_smuggler_orc_m2"	"Smuggler"
"_MCA_BM_smuggler_nor_f2"	"Smuggler"
"_MCA_BM_smuggler_orc_f2"	"Smuggler"
"_MCA_BM_smuggler_red_m2"	"Smuggler"
"_MCA_BM_smuggler_imp_m2"	"Smuggler"
"_MCA_BM_smuggler_red_f2"	"Smuggler"
"_MCA_BM_smuggler_bre_m2"	"Smuggler"
"_MCA_BM_smuggler_dun_m2"	"Smuggler"
"_MCA_BM_smuggler_imp_f2"	"Smuggler"
"_MCA_BM_smuggler_bos_f2"	"Smuggler"
"_MCA_BM_smuggler_dun_f2"	"Smuggler"
"_MCA_BM_smuggler_bre_f2"	"Smuggler"
"_MCA_BM_smuggler_bos_m2"	"Smuggler"
"_MCA_BM_smuggler_kha_f2"	"Smuggler"
"_MCA_BM_smuggler_kha_m2"	"Smuggler"
"_MCA_noble_imp_m4"	"Nobleman"
"_MCA_noble_breton_f2"	"Noblewoman"
"_MCA_noble_breton_f3"	"Noblewoman"
"_MCA_noble_breton_f1"	"Noblewoman"
"_MCA_noble_breton_f4"	"Noblewoman"
"_MCA_noble_breton_f5"	"Noblewoman"
"_MCA_noble_breton_f6"	"Noblewoman"
"_MCA_noble_imp_f6"	"Noblewoman"
"_MCA_telvanni_altmer_f"	"Telvanni Mage"
"_MCA_telvanni_altmer_m"	"Telvanni Mage"
"_MCA_telvanni_bosmer_f"	"Telvanni Mage"
"_MCA_telvanni_bosmer_m"	"Telvanni Mage"
"_MCA_telvanni_breton_m"	"Telvanni Mage"
"_MCA_telvanni_breton_f"	"Telvanni Mage"
"_MCA_telvanni_dunmer_m"	"Telvanni Mage"
"_MCA_telvanni_dunmer_f"	"Telvanni Mage"
"_MCA_noble_breton_m"	"Nobleman"
"_MCA_noble_nord_m"	"Nobleman"
"_MCA_noble_redguard_m"	"Nobleman"
"_MCA_noble_altmer_m"	"Nobleman"
"_MCA_noble_bosmer_m"	"Nobleman"
"_MCA_noble_nord_f1"	"Noblewoman"
"_MCA_noble_nord_f3"	"Noblewoman"
"_MCA_noble_nord_f6"	"Noblewoman"
"_MCA_noble_nord_f5"	"Noblewoman"
"_MCA_noble_nord_f2"	"Noblewoman"
"_MCA_noble_nord_f4"	"Noblewoman"
"_MCA_noble_redguard_f2"	"Noblewoman"
"_MCA_noble_redguard_f5"	"Noblewoman"
"_MCA_noble_redguard_f4"	"Noblewoman"
"_MCA_noble_redguard_f3"	"Noblewoman"
"_MCA_noble_redguard_f6"	"Noblewoman"
"_MCA_noble_redguard_f1"	"Noblewoman"
"_MCA_noble_bosmer_f2"	"Noblewoman"
"_MCA_noble_bosmer_f4"	"Noblewoman"
"_MCA_noble_bosmer_f6"	"Noblewoman"
"_MCA_noble_bosmer_f5"	"Noblewoman"
"_MCA_noble_bosmer_f1"	"Noblewoman"
"_MCA_noble_bosmer_f3"	"Noblewoman"
"_MCA_noble_altmer_f2"	"Noblewoman"
"_MCA_noble_altmer_f4"	"Noblewoman"
"_MCA_noble_altmer_f5"	"Noblewoman"
"_MCA_noble_altmer_f3"	"Noblewoman"
"_MCA_noble_altmer_f6"	"Noblewoman"
"_MCA_noble_altmer_f1"	"Noblewoman"
"_MCA_noble_dunmer_f6"	"Nobleman"
"_MCA_imp_patrol_nord"	"Imperial Legionary"
"_MCA_BM_wraith_lord"	"Frost Wraith Lord"
"_MCA_BM_wraith_ambush"	
"_MCA_wild_f_altmer_m"	"Fledgling Vampire"
"_MCA_wild_f_altmer_f"	"Fledgling Vampire"
"_MCA_wild_f_bosmer_f"	"Fledgling Vampire"
"_MCA_wild_f_bosmer_m"	"Fledgling Vampire"
"_MCA_wild_f_breton_m"	"Fledgling Vampire"
"_MCA_wild_f_breton_f"	"Fledgling Vampire"
"_MCA_wild_f_dunmer_f"	"Fledgling Vampire"
"_MCA_wild_f_dunmer_m"	"Fledgling Vampire"
"_MCA_wild_f_imperial_m"	"Fledgling Vampire"
"_MCA_wild_f_imperial_f"	"Fledgling Vampire"
"_MCA_wild_f_nord_f"	"Fledgling Vampire"
"_MCA_wild_f_nord_m"	"Fledgling Vampire"
"_MCA_wild_f_orc_m"	"Fledgling Vampire"
"_MCA_wild_f_orc_f"	"Fledgling Vampire"
"_MCA_wild_f_redguard_f"	"Fledgling Vampire"
"_MCA_wild_f_redguard_m"	"Fledgling Vampire"
"_MCA_wild_f_khajiit_m"	"Fledgling Vampire"
"_MCA_wild_f_khajiit_f"	"Fledgling Vampire"
"_MCA_wild_f_argonian_f"	"Fledgling Vampire"
"_MCA_wild_f_argonian_m"	"Fledgling Vampire"
"_MCA_wild_v_altmer_f"	"Vampire"
"_MCA_wild_v_altmer_m"	"Vampire"
"_MCA_wild_v_bosmer_m"	"Vampire"
"_MCA_wild_v_bosmer_f"	"Vampire"
"_MCA_wild_v_breton_f"	"Vampire"
"_MCA_wild_v_breton_m"	"Vampire"
"_MCA_wild_v_dunmer_m"	"Vampire"
"_MCA_wild_v_dunmer_f"	"Vampire"
"_MCA_wild_v_imperial_f"	"Vampire"
"_MCA_wild_v_imperial_m"	"Vampire"
"_MCA_wild_v_nord_m"	"Vampire"
"_MCA_wild_v_nord_f"	"Vampire"
"_MCA_wild_v_redguard_f"	"Vampire"
"_MCA_wild_v_redguard_m"	"Vampire"
"_MCA_wild_v_khajiit_m"	"Vampire"
"_MCA_wild_v_khajiit_f"	"Vampire"
"_MCA_wild_v_argonian_f"	"Vampire"
"_MCA_wild_v_argonian_m"	"Vampire"
"_MCA_wild_v_orc_f"	"Vampire"
"_MCA_wild_v_orc_m"	"Vampire"
"_MCA_wild_a_altmer_f"	"Ancient Vampire"
"_MCA_wild_a_altmer_m"	"Ancient Vampire"
"_MCA_wild_a_bosmer_m"	"Ancient Vampire"
"_MCA_wild_a_bosmer_f"	"Ancient Vampire"
"_MCA_wild_a_dunmer_f"	"Ancient Vampire"
"_MCA_wild_a_dunmer_m"	"Ancient Vampire"
"_MCA_wild_a_breton_m"	"Ancient Vampire"
"_MCA_wild_a_breton_f"	"Ancient Vampire"
"_MCA_wild_a_imperial_f"	"Ancient Vampire"
"_MCA_wild_a_imperial_m"	"Ancient Vampire"
"_MCA_wild_a_nord_m"	"Ancient Vampire"
"_MCA_wild_a_nord_f"	"Ancient Vampire"
"_MCA_wild_a_redguard_f"	"Ancient Vampire"
"_MCA_wild_a_redguard_m"	"Ancient Vampire"
"_MCA_wild_e_bosmer_f"	"Elder Vampire"
"_MCA_wild_e_breton_f"	"Elder Vampire"
"_MCA_wild_e_imperial_f"	"Elder Vampire"
"_MCA_wild_e_dunmer_f"	"Elder Vampire"
"_MCA_wild_e_nord_f"	"Elder Vampire"
"_MCA_wild_e_redguard_f"	"Elder Vampire"
"_MCA_wild_e_redguard_m"	"Elder Vampire"
"_MCA_wild_e_nord_m"	"Elder Vampire"
"_MCA_wild_e_imperial_m"	"Elder Vampire"
"_MCA_wild_e_breton_m"	"Elder Vampire"
"_MCA_wild_e_dunmer_m"	"Elder Vampire"
"_MCA_wild_e_bosmer_m"	"Elder Vampire"
"_MCA_wild_e_altmer_m"	"Elder Vampire"
"_MCA_outlaw15_khajiit_m"	"Warrior"
"_MCA_outlaw15_khajiit_f"	"Warrior"
"_MCA_outlaw15_arg_m"	"Warrior"
"_MCA_outlaw15_arg_f"	"Warrior"
"_MCA_outlaw20_khajiit_f"	"Archer"
"_MCA_outlaw20_arg_f"	"Archer"
"_MCA_outlaw20_khajiit_m"	"Archer"
"_MCA_outlaw20_arg_m"	"Archer"
"_MCA_BM_corpse_m"	"Corpse"
"_MCA_BM_corpse_f"	"Corpse"
"_MCA_BM_corpse_skeleton"	"Corpse"
"_MCA_BM_corpse_zombie"	"Corpse"
"_MCA_corpse_zombie_f"	"Corpse"
"_MCA_outlaw40_khajiit_f"	"Outlaw"
"_MCA_outlaw40_khajiit_m"	"Outlaw"
"_MCA_outlaw40_arg_m"	"Outlaw"
"_MCA_outlaw40_arg_f"	"Outlaw"
"_MCA_outlaw35_altmer_m"	"Marksman"
"_MCA_outlaw35_bosmer_m"	"Marksman"
"_MCA_outlaw35_breton_m"	"Marksman"
"_MCA_outlaw35_dunmer_m"	"Marksman"
"_MCA_outlaw35_imp_m"	"Marksman"
"_MCA_outlaw35_nord_m"	"Marksman"
"_MCA_outlaw35_orc_m"	"Marksman"
"_MCA_outlaw35_redg_m"	"Marksman"
"_MCA_outlaw35_khajiit_m"	"Marksman"
"_MCA_outlaw35_arg_m"	"Marksman"
